sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering; groundSteering-calculated
1584543631;373551;1346;860344;1584543631;373551;0.1949314; 0.28776807849317904;
1584543631;474004;1346;960789;1584543631;474004;0.07197852; -0.01177851601824681;
1584543631;574538;1347;61343;1584543631;574538;0.2099344; 0.1450717987312164;
1584543631;675075;1347;161868;1584543631;675075;0.2099344; 0.28098043017134805;
1584543631;775567;1347;262372;1584543631;775567;0.0749791; -0.07781341943254333;
1584543631;876085;1347;362883;1584543631;876085;-0; 0.24669205311759174;
1584543631;976641;1347;463446;1584543631;976641;-0; -0.026758090227616327;
1584543632;77437;1347;564366;1584543632;77437;-0; -0.004949039215332907;
1584543632;178096;1347;664893;1584543632;178096;-0; 0.20803459762075088;
1584543632;278580;1347;765383;1584543632;278580;0.1379559; 0.2925058546401276;
1584543632;379167;1347;865982;1584543632;379167;0.197932; 0.25432562056449354;
1584543632;479758;1347;966570;1584543632;479758;0.07197852; 0.261971924849486;
1584543632;580259;1348;67069;1584543632;580259;0.01799463; 0.24956913026372168;
1584543632;680762;1348;167566;1584543632;680762;-0; 0.18218062950226172;
1584543632;781382;1348;268190;1584543632;781382;-0; 0.24592099279981355;
1584543632;881882;1348;368684;1584543632;881882;-0; 0.235483826518397;
1584543632;982441;1348;469261;1584543632;982441;-0; 0.22942148739358198;
1584543633;82988;1348;569805;1584543633;82988;-0; 0.22191315656456362;
1584543633;183575;1348;670390;1584543633;183575;-0; 0.248332495159497;
1584543633;284158;1348;770971;1584543633;284158;-0; -0.018250778409466595;
1584543633;384709;1348;871529;1584543633;384709;-0; -0.02929508824824195;
1584543633;485255;1348;972066;1584543633;485255;-0; 0.2439427065386494;
1584543633;585822;1349;72637;1584543633;585822;-0; 0.2410079183594192;
1584543633;686322;1349;173122;1584543633;686322;-0; 0.2382265279112898;
1584543633;786860;1349;273692;1584543633;786860;-0; 0.24114866016965025;
1584543633;887488;1349;374311;1584543633;887488;-0; 0.28843950917642164;
1584543633;988104;1349;474927;1584543633;988104;-0; 0.21526441389858647;
1584543634;88739;1349;575610;1584543634;88739;-0; -0.028190800182273712;
1584543634;189399;1349;676212;1584543634;189399;-0; -0.000223751894470825;
1584543634;290157;1349;777089;1584543634;290157;-0; -0.05371404721421014;
1584543634;391190;1349;878024;1584543634;391190;-0; 0.2957748759917372;
1584543634;491842;1349;978654;1584543634;491842;-0; 0.2929850971857569;
1584543634;592467;1350;79285;1584543634;592467;-0; 0.23136541352589973;
1584543634;692961;1350;179747;1584543634;692961;-0; 0.2858468708398641;
1584543634;793530;1350;280345;1584543634;793530;-0; 0.28084092870685556;
1584543634;894011;1350;380797;1584543634;894011;-0; 0.2738071207841621;
1584543634;994455;1350;481244;1584543634;994455;0.03298867; 0.2725734354965514;
1584543635;95193;1350;581984;1584543635;95193;0.09597431; 0.27749480740086646;
1584543635;195724;1350;682547;1584543635;195724;0.09297372; 0.22458695046065807;
1584543635;296317;1350;783133;1584543635;296317;0.09297372; -0.006451131840512214;
1584543635;396851;1350;883664;1584543635;396851;0.1319547; 0.17203018841230466;
1584543635;497429;1350;984249;1584543635;497429;0.1259624; 0.25251949704377147;
1584543635;597993;1351;84816;1584543635;597993;0.1259624; 0.29688779017635664;
1584543635;698491;1351;185287;1584543635;698491;0.1259624; 0.2712843659349307;
1584543635;799094;1351;285934;1584543635;799094;0.1169607; -0.011169801502019627;
1584543635;899739;1351;386554;1584543635;899739;0.1019666; 0.2872371548556018;
1584543636;271;1351;487094;1584543636;271;0.1019666; 0.2640003379177543;
1584543636;100915;1351;587863;1584543636;100915;0.1019666; 0.2461711798223845;
1584543636;201682;1351;688535;1584543636;201682;0.1019666; 0.2903382135236167;
1584543636;302353;1351;789182;1584543636;302353;0.09597431; 0.2736214563121174;
1584543636;402961;1351;889752;1584543636;402961;0.08697256; 0.13788259836806377;
1584543636;503417;1351;990204;1584543636;503417;0.08697256; -0.018408143448495562;
1584543636;603942;1352;90756;1584543636;603942;0.08697256; 0.23539127917524844;
1584543636;704462;1352;191257;1584543636;704462;0.07797969; -0.032314176575831466;
1584543636;804923;1352;291718;1584543636;804923;-0; -0.005279015299825773;
1584543636;905407;1352;392195;1584543636;905407;-0; -0.03428232563243233;
1584543637;5884;1352;492673;1584543637;5884;-0; -0.0027104682983523087;
1584543637;106409;1352;593208;1584543637;106409;0.003000584; -0.005668825284689982;
1584543637;207073;1352;693934;1584543637;207073;0.08997314; -0.03500793564690763;
1584543637;307931;1352;794803;1584543637;307931;0.08997314; 0.26467405533299554;
